# R rho    C       G
0.12 84 1.336842 10.94737
0.12 84 0.484211 9.473684
0.12 84 0.7684202 12
0.12 84 0.6736844 8.210526
0.12 84 0.9578954 10.31579
0.12 84 1.147369 8.421052
0.12 84 0.3894734 11.36842
0.12 84 1.905262 11.1579
0.12 84 2 9.894736
0.12 84 1.621053 9.263156
0.12 84 0.5789468 10.73684
0.12 84 0.2 10.10526
0.12 84 0.2947369 8.842104
0.12 84 1.810527 8.63158
0.12 84 1.052631 11.57895
0.12 84 1.242105 9.684212
0.12 84 1.526316 11.78947
0.12 84 1.43158 8
0.12 84 1.715789 10.52632
0.12 84 0.8631578 9.052632
0.038 626 1.336842 10.94737
0.038 626 0.484211 9.473684
0.038 626 0.7684202 12
0.038 626 0.6736844 8.210526
0.038 626 0.9578954 10.31579
0.038 626 1.147369 8.421052
0.038 626 0.3894734 11.36842
0.038 626 1.905262 11.1579
0.038 626 2 9.894736
0.038 626 1.621053 9.263156
0.038 626 0.5789468 10.73684
0.038 626 0.2 10.10526
0.038 626 0.2947369 8.842104
0.038 626 1.810527 8.63158
0.038 626 1.052631 11.57895
0.038 626 1.242105 9.684212
0.038 626 1.526316 11.78947
0.038 626 1.43158 8
0.038 626 1.715789 10.52632
0.038 626 0.8631578 9.052632
0.11 1304 1.336842 10.94737
0.11 1304 0.484211 9.473684
0.11 1304 0.7684202 12
0.11 1304 0.6736844 8.210526
0.11 1304 0.9578954 10.31579
0.11 1304 1.147369 8.421052
0.11 1304 0.3894734 11.36842
0.11 1304 1.905262 11.1579
0.11 1304 2 9.894736
0.11 1304 1.621053 9.263156
0.11 1304 0.5789468 10.73684
0.11 1304 0.2 10.10526
0.11 1304 0.2947369 8.842104
0.11 1304 1.810527 8.63158
0.11 1304 1.052631 11.57895
0.11 1304 1.242105 9.684212
0.11 1304 1.526316 11.78947
0.11 1304 1.43158 8
0.11 1304 1.715789 10.52632
0.11 1304 0.8631578 9.052632
0.0485 380.9 1.336842 10.94737
0.0485 380.9 0.484211 9.473684
0.0485 380.9 0.7684202 12
0.0485 380.9 0.6736844 8.210526
0.0485 380.9 0.9578954 10.31579
0.0485 380.9 1.147369 8.421052
0.0485 380.9 0.3894734 11.36842
0.0485 380.9 1.905262 11.1579
0.0485 380.9 2 9.894736
0.0485 380.9 1.621053 9.263156
0.0485 380.9 0.5789468 10.73684
0.0485 380.9 0.2 10.10526
0.0485 380.9 0.2947369 8.842104
0.0485 380.9 1.810527 8.63158
0.0485 380.9 1.052631 11.57895
0.0485 380.9 1.242105 9.684212
0.0485 380.9 1.526316 11.78947
0.0485 380.9 1.43158 8
0.0485 380.9 1.715789 10.52632
0.0485 380.9 0.8631578 9.052632
