#    R               rho_air         rho_ball         C               g
   3.8000000e-02   1.1840000e+00   6.2600000e+02   6.7368440e-01   8.2105264e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   9.5789540e-01   1.0315788e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.1473688e+00   8.4210520e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   3.8947340e-01   1.1368420e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.9052624e+00   1.1157896e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   2.0000000e+00   9.8947360e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.6210532e+00   9.2631560e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   5.7894680e-01   1.0736844e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   2.0000000e-01   1.0105264e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   2.9473688e-01   8.8421040e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.8105266e+00   8.6315800e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.0526312e+00   1.1578948e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.2421046e+00   9.6842120e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.5263156e+00   1.1789472e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.4315798e+00   8.0000000e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.7157890e+00   1.0526316e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   8.6315780e-01   9.0526320e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.3368422e+00   1.0947368e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   4.8421100e-01   9.4736840e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   7.6842020e-01   1.2000000e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   6.7368440e-01   8.2105264e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   9.5789540e-01   1.0315788e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.1473688e+00   8.4210520e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   3.8947340e-01   1.1368420e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.9052624e+00   1.1157896e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   2.0000000e+00   9.8947360e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.6210532e+00   9.2631560e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   5.7894680e-01   1.0736844e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   2.0000000e-01   1.0105264e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   2.9473688e-01   8.8421040e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.8105266e+00   8.6315800e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.0526312e+00   1.1578948e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.2421046e+00   9.6842120e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.5263156e+00   1.1789472e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.4315798e+00   8.0000000e+00
   1.1000000e-01   1.1840000e+00   1.3040000e+03   1.7157890e+00   1.0526316e+01
   1.1000000e-01   1.1840000e+00   1.3040000e+03   8.6315780e-01   9.0526320e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.3368422e+00   1.0947368e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   4.8421100e-01   9.4736840e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   7.6842020e-01   1.2000000e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   6.7368440e-01   8.2105264e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   9.5789540e-01   1.0315788e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.1473688e+00   8.4210520e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   3.8947340e-01   1.1368420e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.9052624e+00   1.1157896e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   2.0000000e+00   9.8947360e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.6210532e+00   9.2631560e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   5.7894680e-01   1.0736844e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   2.0000000e-01   1.0105264e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   2.9473688e-01   8.8421040e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.8105266e+00   8.6315800e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.0526312e+00   1.1578948e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.2421046e+00   9.6842120e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.5263156e+00   1.1789472e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.4315798e+00   8.0000000e+00
   4.8500000e-02   1.1840000e+00   3.8090000e+02   1.7157890e+00   1.0526316e+01
   4.8500000e-02   1.1840000e+00   3.8090000e+02   8.6315780e-01   9.0526320e+00
   1.2067794e-01   1.1281356e+00   2.3305055e+02   1.0847450e+00   9.1525440e+00
   8.3389810e-02   1.1215255e+00   1.1025424e+03   4.7457560e-01   1.0372880e+01
   1.2440683e-01   1.0752543e+00   4.3898360e+02   2.6101694e-01   1.0169492e+01
   4.4237290e-02   1.0091524e+00   1.1711858e+03   2.9152550e-01   1.1796612e+01
   3.4915230e-02   1.1810169e+00   7.8220355e+02   1.6949144e+00   8.6101680e+00
   4.9830460e-02   1.1942375e+00   1.4000000e+03   5.3559380e-01   9.8983040e+00
   8.7118590e-02   1.0223730e+00   4.1610110e+02   1.9694918e+00   9.2203400e+00
   1.2627122e-01   1.1611865e+00   1.2398306e+03   6.8813480e-01   1.1661016e+01
   1.1322038e-01   1.3000000e+00   1.1483047e+03   9.6271220e-01   9.9661000e+00
   1.1135588e-01   1.1677966e+00   5.5338935e+02   1.5728816e+00   9.4915240e+00
   4.7966070e-02   9.4966105e-01   9.4237295e+02   1.6033898e+00   9.0847440e+00
   8.5254200e-02   9.1661019e-01   7.3644125e+02   6.5762660e-01   8.2711864e+00
   1.2254233e-01   9.3644067e-01   5.9915300e+02   8.4067760e-01   8.6779680e+00
   8.1525420e-02   1.0620341e+00   5.7627185e+02   1.3898306e+00   1.2000000e+01
   5.3559350e-02   1.2537288e+00   1.0796612e+03   1.1457632e+00   8.1355932e+00
   7.7796640e-02   1.1744067e+00   9.5762705e+01   1.2067796e+00   1.1457628e+01
   1.0762710e-01   1.0554236e+00   1.2855929e+03   3.5254244e-01   9.0169480e+00
   7.4067750e-02   9.6949138e-01   6.2203415e+02   1.7559326e+00   1.0711864e+01
   9.2711870e-02   1.2272880e+00   1.3084741e+03   1.6338980e+00   1.1254236e+01
   9.0847480e-02   1.2801697e+00   1.8728825e+02   3.2203388e-01   9.7627120e+00
   1.1881355e-01   1.2140678e+00   9.1949180e+02   1.7864408e+00   1.1932204e+01
   2.1864412e-02   9.6288127e-01   1.1254235e+03   7.1864480e-01   9.4237280e+00
   1.0949149e-01   1.1016948e+00   1.1864413e+02   7.7966120e-01   1.0644068e+01
   1.3000000e-01   1.0025423e+00   8.0508470e+02   1.1762714e+00   9.6949160e+00
   1.1694916e-01   9.7610188e-01   1.3771189e+03   1.3288142e+00   1.0440676e+01
   9.8305040e-02   1.0950846e+00   9.6525410e+02   1.2677960e+00   8.4067800e+00
   6.1016910e-02   1.2206779e+00   4.6186475e+02   1.2983042e+00   8.9491520e+00
   7.0338970e-02   9.4305086e-01   2.5593170e+02   3.8305100e-01   1.1186440e+01
   9.4576260e-02   1.1413558e+00   6.9067760e+02   2.0000000e-01   8.8813560e+00
   1.0389832e-01   9.2322034e-01   1.0567800e+03   1.4508470e+00   1.1525424e+01
   4.6101680e-02   1.2867798e+00   3.9321995e+02   7.4915300e-01   8.4745760e+00
   5.5423740e-02   1.0686442e+00   7.5932240e+02   2.0000000e+00   1.1118644e+01
   7.9661030e-02   1.2669491e+00   1.1940683e+03   1.8169490e+00   8.8135600e+00
   8.8983090e-02   9.8932210e-01   9.8813525e+02   9.0169580e-01   1.1050848e+01
   5.1694960e-02   1.1149154e+00   4.8474590e+02   9.3220400e-01   1.1593220e+01
   3.3050840e-02   1.2338981e+00   7.2881420e+01   8.7118580e-01   9.5593240e+00
   2.0000000e-02   1.2074577e+00   6.4491530e+02   1.0237286e+00   1.0305084e+01
   4.0508510e-02   1.1083053e+00   1.3313565e+03   1.4203388e+00   9.3559320e+00
   1.2813561e-01   1.2471187e+00   3.2457650e+02   1.4813552e+00   1.0576272e+01
   3.1186450e-02   9.9593221e-01   5.3050820e+02   4.1355920e-01   8.0677968e+00
   5.9152520e-02   9.2983053e-01   1.2627117e+03   1.8779654e+00   1.0237288e+01
   5.7288130e-02   9.8271199e-01   1.4152541e+02   5.6610200e-01   8.7457640e+00
   7.5932250e-02   1.2405086e+00   8.2796585e+02   4.4406740e-01   9.2881360e+00
   4.2372900e-02   1.1545764e+00   1.6440683e+02   1.8474572e+00   1.0983052e+01
   7.2203360e-02   1.0355933e+00   1.3542377e+03   9.9322040e-01   8.5423720e+00
   9.6440650e-02   9.5627116e-01   3.7033880e+02   1.0542368e+00   1.1864408e+01
   6.8474580e-02   1.1479659e+00   8.7372815e+02   8.1016940e-01   8.0000000e+00
   2.7457626e-02   1.2735592e+00   8.5084700e+02   1.3593224e+00   1.1322032e+01
   6.4745800e-02   1.2933899e+00   7.1355875e+02   1.5423734e+00   1.1728812e+01
   1.0203393e-01   1.2603389e+00   5.0762705e+02   5.9661020e-01   1.0915256e+01
   3.8644120e-02   1.0422034e+00   8.9661065e+02   6.2711840e-01   1.0508476e+01
   3.6779620e-02   9.1000000e-01   3.0169535e+02   1.2372878e+00   1.0033900e+01
   2.3728813e-02   1.0488135e+00   2.1016940e+02   1.5118652e+00   8.3389832e+00
   6.2881410e-02   1.1876270e+00   1.0338989e+03   2.3050856e-01   1.0779660e+01
   1.0016954e-01   1.0157625e+00   5.0000000e+01   1.6644062e+00   1.0101696e+01
   1.1508477e-01   1.0289831e+00   6.6779645e+02   5.0508560e-01   1.1389832e+01
   1.0576271e-01   1.2008476e+00   2.7881420e+02   1.9084754e+00   8.2033900e+00
   2.5593225e-02   1.1347457e+00   1.0110164e+03   1.9389836e+00   9.8305080e+00
   6.6610190e-02   1.0884745e+00   3.4745765e+02   1.7254244e+00   9.6271200e+00
   2.9322038e-02   1.0818644e+00   1.2169495e+03   1.1152550e+00   1.0847456e+01
