#    R               rho_air         rho_ball         C               g
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.3368422e+00   1.0947368e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   4.8421100e-01   9.4736840e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   7.6842020e-01   1.2000000e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   6.7368440e-01   8.2105264e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   9.5789540e-01   1.0315788e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.1473688e+00   8.4210520e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   3.8947340e-01   1.1368420e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.9052624e+00   1.1157896e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   2.0000000e+00   9.8947360e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.6210532e+00   9.2631560e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   5.7894680e-01   1.0736844e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   2.0000000e-01   1.0105264e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   2.9473688e-01   8.8421040e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.8105266e+00   8.6315800e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.0526312e+00   1.1578948e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.2421046e+00   9.6842120e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.5263156e+00   1.1789472e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.4315798e+00   8.0000000e+00
   1.2000000e-01   1.1840000e+00   8.4000000e+01   1.7157890e+00   1.0526316e+01
   1.2000000e-01   1.1840000e+00   8.4000000e+01   8.6315780e-01   9.0526320e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   1.3368422e+00   1.0947368e+01
   3.8000000e-02   1.1840000e+00   6.2600000e+02   4.8421100e-01   9.4736840e+00
   3.8000000e-02   1.1840000e+00   6.2600000e+02   7.6842020e-01   1.2000000e+01
